Gene stable ID,UniProtKB Gene Name ID
ENSG00000008128,Q5QPR4
ENSG00000008128,Q5QPQ9
ENSG00000008128,Q5QPR3
ENSG00000008128,E7ESP2
ENSG00000008128,J3KS35
ENSG00000008128,E9PFJ2
ENSG00000008128,Q9UQ88
ENSG00000008130,A0A024R058
ENSG00000008130,J3QRC0
ENSG00000008130,A0A0A0MR98
ENSG00000008130,J3KTI3
ENSG00000008130,J3QR86
ENSG00000008130,O95544
ENSG00000041988,K7EIZ2
ENSG00000041988,Q8WTV1
ENSG00000067606,D6RG01
ENSG00000067606,D6RBD4
ENSG00000067606,D6RDM0
ENSG00000067606,F2Z3C5
ENSG00000067606,D6RAN5
ENSG00000067606,D6RGG1
ENSG00000067606,D6RC84
ENSG00000067606,F2Z2H9
ENSG00000067606,D6RJG4
ENSG00000067606,J3KRP7
ENSG00000067606,D6REZ8
ENSG00000067606,D6RAU1
ENSG00000067606,E9PBE1
ENSG00000067606,D6RD31
ENSG00000067606,D6RCN4
ENSG00000067606,Q05513
ENSG00000069424,A1PR14
ENSG00000069424,A0A5F9UN28
ENSG00000069424,Q5TG81
ENSG00000069424,Q5TG84
ENSG00000069424,K7EKU4
ENSG00000069424,Q5TG78
ENSG00000069424,K7EIR5
ENSG00000069424,A0A590UJV4
ENSG00000069424,A0A590UJ72
ENSG00000069424,A0A590UJB8
ENSG00000069424,A0A590UJU4
ENSG00000069424,A0A590UJJ4
ENSG00000069424,A0A590UJY1
ENSG00000069424,A0A590UJ15
ENSG00000069424,A0A590UJI8
ENSG00000069424,A0A590UJK5
ENSG00000069424,A0A590UJB6
ENSG00000069424,A0A590UJX9
ENSG00000069424,A0A590UJU1
ENSG00000069424,A0A590UJ79
ENSG00000069424,A0A590UK89
ENSG00000069424,Q13303
ENSG00000069812,K7EJN2
ENSG00000069812,K7EJQ0
ENSG00000069812,Q9Y543
ENSG00000078369,A0A140VJJ8
ENSG00000078369,B3KVK2
ENSG00000078369,B1AKQ8
ENSG00000078369,F6X3N5
ENSG00000078369,F6UT28
ENSG00000078369,P62873
ENSG00000078808,G3V1E2
ENSG00000078808,A0A5F9UP49
ENSG00000078808,A0A5F9UJX7
