14-3-3_epsilon,YWHAE,Use with Caution,Mouse,Santa Cruz,sc-23957,1:100
4E-BP1_pS65,EIF4EBP1,Validated,Rabbit,CST,9456,1:250
4E-BP1_pT37,EIF4EBP1,Validated,Rabbit,CST,9459,1:100
4E-BP1,EIF4EBP1,Validated,Rabbit,CST,9452,1:100
53BP1,TP53BP1,Under Evaluation,Rabbit,CST,4937,1:200
ACC_pS79,ACACA ACACB,Validated,Rabbit,CST,3661,1:250
ACC1,ACACA,Under Evaluation,Rabbit,Epitomics,1768-1,1:300
Akt_pS473,AKT1 AKT2 AKT3,Validated,Rabbit,CST,9271,1:250
Akt_pT308,AKT1 AKT2 AKT3,Validated,Rabbit,CST,9275,1:250
Akt,AKT1 AKT2 AKT3,Validated,Rabbit,CST,9272,1:250
AMPK_alpha,PRKAA1,Use with Caution,Rabbit,CST,2532,1:250
AMPK_pT172,PRKAA1,Validated,Rabbit,CST,2535,1:750
AR,AR,Validated,Rabbit,Epitomics,1852-1,1:100
ATM,ATM,Under Evaluation,Rabbit,Abcam,ab32420,1:1500
Bak,BAK1,Under Evaluation,Rabbit,Epitomics,1542-1,1:200
Bax,BAX,Validated,Rabbit,CST,2772,1:250
Bcl-2,BCL2,Validated,Mouse,Dako,M0887,1:200
Bcl-xL,BCL2L1,Validated,Rabbit,CST,2762,1:250
Beclin,BECN1,Use with Caution,Goat,Santa Cruz,sc-10086,1:100
beta-Catenin,CTNNB1,Validated,Rabbit,CST,9562,1:300
Bid,BID,Use with Caution,Rabbit,Epitomics,1008-1,1:500
Bim,BCL2L11,Validated,Rabbit,Epitomics,1036-1,1:500
c-Jun_pS73,JUN,Validated,Rabbit,CST,9164,1:100
c-Kit,KIT,Validated,Rabbit,Epitomics,1522,1:1000
c-Met_pY1235,MET,Validated,Rabbit,CST,3129,1:100
c-Myc,MYC,Use with Caution,Rabbit,CST,9402,1:200
C-Raf_pS338,RAF1,Under Evaluation,Rabbit,CST,9427,1:250
C-Raf,RAF1,Validated,Rabbit,Millipore,05-739,1:1000
Caspase-7_cleavedD198,CASP7,Use with Caution,Rabbit,CST,9491,1:150
Caveolin-1,CAV1,Validated,Rabbit,CST,3238,1:250
CD31,PECAM1,Validated,Mouse,Dako,M0823,1:500
CD49b,ITGA2,Validated,Mouse,BD,611016,1:250
CDK1,CDC2,Validated,Rabbit,CST,9112,1:250
Chk1_pS345,CHEK1,Use with Caution,Rabbit,CST,2348,1:200
Chk1,CHEK1,Under Evaluation,Rabbit,CST,2345,1:100
Chk2_pT68,CHEK2,Under Evaluation,Rabbit,CST,2197,1:100
Chk2,CHEK2,Under Evaluation,Mouse,CST,3440,1:250
cIAP,BIRC2,Use with Caution,Rabbit,Millipore,07-759,1:200
Claudin-7,CLDN7,Validated,Rabbit,Novus,NB100-91714,1:250
Collagen_VI,COL6A1,Validated,Rabbit,Santa Cruz,SC-20649,1:200
Cyclin_B1,CCNB1,Validated,Rabbit,Epitomics,1495-1,1:500
Cyclin_D1,CCND1,Validated,Rabbit,Santa Cruz,SC-718,1:1000
Cyclin_E1,CCNE1,Validated,Mouse,Santa Cruz,SC-247,1:500
DJ-1,PARK7,Validated,Rabbit,Abcam,ab76008,1:5000
Dvl3,DVL3,Validated,Rabbit,CST,3218,1:1000
E-Cadherin,CDH1,Validated,Rabbit,CST,4065,1:250
eEF2,EEF2,Use with Caution,Rabbit,CST,2332,1:200
eEF2K,EEF2K,Validated,Rabbit,CST,3692,1:200
EGFR_pY1068,EGFR,Use with Caution,Rabbit,CST,2234,1:100
EGFR_pY1173,EGFR,Validated,Rabbit,Epitomics,1124,1:100
eIF4E,EIF4E,Validated,Rabbit,CST,9742,1:1000
ER-alpha_pS118,ESR1,Validated,Rabbit,Epitomics,1091-1,1:500
ER-alpha,ESR1,Validated,Rabbit,Lab Vision,RM-9101-S,1:250
ERK2,MAPK1,Under Evaluation,Rabbit,Santa Cruz,sc-154,1:2000
Fibronectin,FN1,Use with Caution,Rabbit,Epitomics,1574-1,1:5000
