From	To
A0S0A8	4846
A1L0S5	79658
A1L376	394
A1L387	9814
A2A2L2	9814
A2A2X2	23263
A2A3B9	81624
A2A3C0	81624
A2A3G6	23263
A2A3G8	23263
A2BEL6	8831
A2BEL7	8831
A2RUN2	367
A2VDG4	9064
A2VDG5	9064
A3E344	2321
A4D0Q0	5649
A4D0T6	5506
A4D1R8	8805
A4D1X9	273
A4D2J3	2645
A4D2K1	816
A4D2K2	816
A4D2K3	816
A4D2K4	816
A4D2K5	816
A4D2K6	816
A4D7U4	1386
A4D7U5	1386
A4D7V1	1386
A4QMR7	93624
A5CVC9	6872
A5CVD0	6872
A5CVD1	6872
A5YAK5	3084
A5YM54	3796
A5YMH4	55215
A5Z1N0	3872
A5Z1N1	3872
A5Z1N2	3872
A6ND61	55869
A6ND72	4734
A6NDV6	3872
A6NEK3	10580
A6NET3	55869
A6NEW9	9846
A6NF85	221178
A6NFR7	10956
A6NFS4	126961
A6NFS4	333932
A6NFS4	653604
A6NG28	5602
A6NGV1	6418
A6NH82	322
A6NHI9	153090
A6NID8	10580
A6NJB1	7323
A6NJR3	55869
A6NJS4	10580
A6NJZ0	55215
A6NKN0	9687
A6NKQ2	3872
A6NL69	322
A6NLA1	51196
A6NLB2	10956
A6NLL8	5460
A6NLU7	7050
A6NM99	7323
A6ZJ80	23779
A7DZQ0	131873
A7DZQ1	131873
A7DZQ2	131873
A7E295	23085
A7E2B3	23162
A7E2X2	115
A7LA92	627
A7MBN7	51196
A7MCZ2	9344
A7MD29	4734
A7MD36	9846
A7MD40	10580
A7VJ95	2887
A7X8B0	5241
A7YIK0	5962
A7YIK3	5962
A8CTX8	6453
A8CTY3	6453
A8CTY7	6453
A8D7D0	6453
A8DCP3	6453
A8DPS6	5049
A8DPS7	5049
A8DUA8	3663
A8DUA9	3663
A8K027	9039
A8K0E6	2887
A8K0V1	5998
A8K0Y3	1272
A8K102	5521
A8K110	8349
A8K1D7	51196
A8K1K5	7514
A8K1L2	3084
A8K1T5	9429
A8K209	7462
A8K265	4149
A8K2Q4	4254
A8K2S6	4193
A8K2U7	1062
A8K3K8	1066
A8K3T4	1910
A8K4F1	7462
A8K4G4	4149
A8K4J3	55859
A8K4J7	6907
A8K4U1	23043
A8K5N0	7049
A8K5Q9	10956
A8K6P4	1432
A8K6S7	9459
A8K6T7	6642
A8K6V9	84271
A8K6W2	2059
A8K714	84126
A8K786	7321
A8K7S9	653361
A8K824	4149
A8K844	1066
A8K8P3	9814
A8K8V5	2260
A8K8W6	5932
A8K9H3	79733
A8K9K7	6195
A8KA63	4846
A8KA66	2059
A8KA71	2321
A8KAA1	394
A8KAB3	7189
A8KAM1	1438
A8MQ12	7410
A8MQ20	8555
A8MQ62	55869
A8MQC4	8831
A8MSX3	4485
A8MU64	5590
A8MUD1	2934
A8MW26	3297
A8MXU3	5771
A8MYN7	2934
A8MZ91	10419
A8MZG3	10755
A9CQZ6	115557
A9IN57	23151
A9IZU4	5524
A9J6L2	256076
A9J6L4	256076
A9J6L6	256076
A9J6L7	256076
A9J6M0	256076
A9J6M1	256076
A9J6M2	256076
A9XLP9	7099
A9XLQ0	7099
A9XLQ1	7099
B0AZN5	3856
B0I4X4	6720
B0LPE8	1398
B0LPF1	2321
B0LPF4	3685
B0LPF9	3845
B0LPG1	5600
B0LPG3	5595
B0LPG8	2908
B0LPH0	1432
B0QY47	83999
B0QYN1	29780
B0QZB1	153090
B0S7P0	6046
B0V1X5	4855
B0YIY6	1000
B0YJ94	23235
B1A8Z5	6597
B1A8Z6	6597
B1A8Z7	6597
B1AHG5	55615
B1AJR5	83999
B1AKD7	367
B1AKL9	9814
B1AL31	8555
B1AL32	8555
B1AL37	9459
B1AL93	5451
B1ALG4	6595
B1ALH9	2035
B1ALJ0	27329
B1ALK8	8874
B1AM33	7827
B1AM70	1282
B1AMA4	79109
B1AMT7	7804
B1AMT8	7804
B1AP21	5664
B1APV5	10451
B1AZT1	6046
B1GX77	5063
B1GX78	5063
B1GX79	5063
B1P2N6	8650
B1P2N7	8650
B1P2N8	8650
B1P2N9	8650
B1Q2X3	6872
B2BF46	2321
B2BF47	2321
B2BF48	2321
B2R4E7	3925
B2R4I1	54205
B2R4I5	7341
B2R4P8	4666
B2R4R1	332
B2R4T6	4632
B2R519	4256
B2R5N3	5894
B2R5N8	5315
B2R5R6	6452
B2R5T4	1434
B2R5X1	396
B2R601	2043
B2R620	6513
B2R661	8878
B2R684	10818
B2R6E7	9184
B2R6S7	27123
B2R6V4	3570
B2R768	2115
B2R7G3	2244
B2R834	5580
B2R8E1	10048
B2R8E5	7113
B2R8T6	5888
B2R8W1	2045
B2R908	5499
B2R936	6514
B2R9Q5	8464
B2R9R4	5585
B2R9S7	4988
B2R9X6	29780
B2RA02	5308
B2RAF6	5587
B2RAG1	8737
B2RB45	22933
B2RBQ3	58484
B2RBT8	10193
B2RC84	5458
B2RCA0	6772
B2RCE7	84126
B2RCQ1	4846
B2RCR2	3827
B2RCS5	88
B2RCW1	27329
B2RCZ1	7855
B2RCZ3	4322
B2RCZ9	847
B2RD70	3693
B2RDE4	7132
B2RDQ8	5265
B2RDY8	6195
B2RE16	360
B2RE93	84335
B2RMP1	11016
B2RMR7	144455
B2RMS4	861
B2RMS8	91653
B2RN35	9344
B2RNC5	4683
B2RNU5	26160
B2RPF1	3594
B2RPN6	389421
B2RPP8	3172
B2RTS2	116985
B2RTV5	8515
B2RXI6	729238
B2RXK9	729238
B3FR89	2321
B3KNL0	2886
B3KNU6	1123
B3KP27	2355
B3KP73	55615
B3KPD0	5521
B3KPJ9	3320
B3KPQ1	7132
B3KPV1	7433
B3KQ22	896
B3KQ26	26574
B3KQ94	5602
B3KQZ9	8717
B3KR08	23017
B3KR76	64218
B3KRD7	1959
B3KRG4	23405
B3KRR6	4046
B3KRY0	5315
B3KSA5	7490
B3KSE6	1191
B3KSF3	5592
B3KSN0	93624
B3KSQ0	1750
B3KSU8	51547
B3KSX8	5985
B3KSY9	8554
B3KT79	9314
